Date,Description,Amount,Category
2025-07-15,Netflix Subscription,-15.99,Subscriptions
2025-07-16,Grocery Store ABC,-85.40,Groceries
2025-07-17,Starbucks,-5.75,Food & Drink
2025-07-20,Shell Gas Station,-60.20,Transport
2025-07-22,Salary Deposit,3500.00,Income
2025-07-25,Amazon Purchase,-45.50,Shopping
2025-07-28,Restaurant Dinner,-120.00,Food & Drink
2025-08-01,Spotify Premium,-10.99,Subscriptions
2025-08-02,Grocery Store ABC,-75.10,Groceries
2025-08-05,Concert Tickets,-250.00,Entertainment
2025-08-10,Phone Bill,-50.00,Utilities
2025-08-12,Starbucks,-6.25,Food & Drink
2025-08-15,Netflix Subscription,-15.99,Subscriptions
2025-08-22,Salary Deposit,3500.00,Income